recommend_time,code,name,sector,price,signal,market_mode,etf_grade,score,status,last_price,max_return,min_return,days
2026-08-06 10:56:38,688498,源杰科技,自动发现,1362.7,A级-回避,强势进攻日,C,100.0,win,1429.0,4.8653,-4.0104,6
2026-08-06 10:45:39,000021,深科技,自动发现,40.44,A级-回避,强势进攻日,C,100.0,win,37.17,5.3412,-10.2621,23
2026-08-06 10:45:39,688072,拓荆科技,自动发现,702.38,A级-回避,强势进攻日,C,98.8,win,693.0,7.5572,-6.7471,22
2026-08-06 10:33:23,601138,工业富联,AI服务器,68.87,A级-快吃肉候选,强势进攻日,S,100.0,loss,64.04,0.9874,-13.3004,23
2026-08-06 10:33:23,000988,华工科技,自动发现,105.32,A级-回避,强势进攻日,C,100.0,loss,102.93,7.9187,-3.8169,23
2026-08-06 10:33:23,688256,寒武纪,国产AI芯片,1163.0,A级-快吃肉候选,强势进攻日,S,100.0,loss,1046.63,3.1754,-16.9424,23
2026-08-06 10:33:23,688012,中微公司,半导体设备,365.34,A级-快吃肉候选,强势进攻日,S,99.73,win,367.0,9.1011,-3.8704,23
2026-08-06 10:33:23,300502,新易盛,光模块/CPO,431.11,A级-快吃肉候选,强势进攻日,S,99.63,loss,399.0,8.2508,-9.5243,23
2026-08-05 16:33:54,600664,哈药股份,自动发现,6.77,A级-回避,强势进攻日,C,97.7,win,9.0,36.3368,0.0,24
2026-08-05 16:33:54,688167,炬光科技,自动发现,208.35,A级-回避,强势进攻日,C,97.39,win,295.0,41.5887,0.0,24
2026-08-05 13:46:48,603083,剑桥科技,自动发现,151.23,A级-回避,强势进攻日,C,99.23,win,192.31,31.0653,-1.1043,24
2026-08-05 13:46:48,000967,盈峰环境,自动发现,9.48,A级-回避,强势进攻日,C,97.74,open,9.47,0.0,-0.1055,0
2026-08-05 13:46:48,002463,沪电股份,自动发现,117.29,A级-回避,强势进攻日,C,97.36,win,121.7,6.6502,-2.9755,24
2026-08-05 13:46:48,603127,昭衍新药,自动发现,46.4,A级-回避,强势进攻日,C,94.8,win,47.47,16.7026,0.0,20
2026-08-05 13:09:09,300394,天孚通信,光模块/CPO,214.05,A级-快吃肉候选,强势进攻日,B,96.79,win,263.58,36.7951,0.0,24
2026-08-05 13:09:09,000338,潍柴动力,自动发现,29.9,A级-回避,强势进攻日,C,96.43,win,27.64,3.311,-9.7324,24
2026-08-05 13:09:09,688630,芯碁微装,自动发现,356.52,A级-回避,强势进攻日,C,95.94,win,438.6,29.1176,0.0,23
2026-08-05 13:09:09,688008,澜起科技,自动发现,212.55,A级-回避,强势进攻日,C,95.75,loss,213.0,5.561,-10.2188,24
2026-08-05 11:35:47,301171,易点天下,自动发现,39.34,A级-回避,强势进攻日,C,96.13,loss,35.42,0.0,-9.9644,24
2026-08-05 11:35:47,002916,深南电路,PCB,345.32,A级-回避,强势进攻日,C,96.04,win,362.4,13.822,-2.7221,24
2026-08-05 11:35:47,002353,杰瑞股份,自动发现,147.5,A级-回避,强势进攻日,C,95.83,loss,136.24,13.139,-7.6339,23
2026-08-05 11:35:47,603893,瑞芯微,自动发现,198.5,A级-回避,强势进攻日,C,95.39,win,182.65,8.3325,-8.3728,15
2026-08-05 11:35:47,002709,天赐材料,自动发现,38.81,A级-回避,强势进攻日,C,95.33,win,37.15,3.1693,-6.9312,24
2026-08-05 11:18:25,600105,永鼎股份,自动发现,35.93,A级-回避,强势进攻日,C,100.0,win,39.8,19.4823,0.0,24
2026-08-05 11:18:25,002156,通富微电,自动发现,58.02,A级-回避,强势进攻日,C,98.71,win,63.75,22.0786,-0.0345,24
2026-08-05 11:18:25,002436,兴森科技,自动发现,30.15,A级-回避,强势进攻日,C,97.74,win,35.78,24.743,0.0,24
2026-08-05 11:18:25,600703,三安光电,自动发现,13.32,A级-回避,强势进攻日,C,97.45,win,14.83,11.3363,0.0,13
2026-08-05 11:18:25,300476,胜宏科技,自动发现,208.38,A级-回避,强势进攻日,C,97.19,win,241.6,37.2493,0.0,24
2026-08-05 10:39:47,600183,生益科技,自动发现,117.27,A级-回避,强势进攻日,C,97.47,win,145.65,25.5394,0.0,24
2026-08-05 10:39:47,002407,多氟多,自动发现,32.49,A级-回避,强势进攻日,C,96.28,win,36.94,21.1142,0.0,24
2026-08-05 10:39:47,002384,东山精密,自动发现,181.62,A级-回避,强势进攻日,C,91.48,win,195.62,19.7005,0.0,24
2026-08-05 10:25:53,002371,北方华创,半导体设备,715.21,A级-快吃肉候选,强势进攻日,A,96.39,win,697.51,8.947,-3.0355,24
2026-08-05 10:25:53,601899,紫金矿业,有色金属,33.6,A级-快吃肉候选,强势进攻日,S,91.64,win,34.65,5.506,-4.1369,24
